Cidade;Campus/Unidade;Ano;Mes;Quantidade (m3)
Ituiutaba;Centro;2022;Janeiro;0
Ituiutaba;FACIP;2022;Janeiro;245
Monte Carmelo;Araras;2022;Janeiro;1254
Monte Carmelo;Boa Vista;2022;Janeiro;13
Monte Carmelo;Cidade Jardim;2022;Janeiro;0
Monte Carmelo;Mundo Novo;2022;Janeiro;0
Monte Carmelo;Vila Nova;2022;Janeiro;0
Patos de Minas;Patos de Minas;2022;Janeiro;81
Uberlandia;Educacao Fisica;2022;Janeiro;363
Uberlandia;Gloria;2022;Janeiro;585
Uberlandia;Moradia;2022;Janeiro;260
Uberlandia;Santa Monica;2022;Janeiro;4972
Uberlandia;Umuarama;2022;Janeiro;5082
Uberlandia;Unidades Externas;2022;Janeiro;383
Ituiutaba;Centro;2022;Fevereiro ;0
Ituiutaba;FACIP;2022;Fevereiro ;330
Monte Carmelo;Araras;2022;Fevereiro ;855
Monte Carmelo;Boa Vista;2022;Fevereiro ;8
Monte Carmelo;Cidade Jardim;2022;Fevereiro ;0
Monte Carmelo;Mundo Novo;2022;Fevereiro ;0
Monte Carmelo;Vila Nova;2022;Fevereiro ;0
Patos de Minas;Patos de Minas;2022;Fevereiro ;70
Uberlandia;Educacao Fisica;2022;Fevereiro ;501
Uberlandia;Gloria;2022;Fevereiro ;861
Uberlandia;Moradia;2022;Fevereiro ;260
Uberlandia;Santa Monica;2022;Fevereiro ;4879
Uberlandia;Umuarama;2022;Fevereiro ;4612
Uberlandia;Unidades Externas;2022;Fevereiro ;430
Ituiutaba;Centro;2022;Março ;0
Ituiutaba;FACIP;2022;Março ;573
Monte Carmelo;Araras;2022;Março ;669
Monte Carmelo;Boa Vista;2022;Março ;7
Monte Carmelo;Cidade Jardim;2022;Março ;0
Monte Carmelo;Mundo Novo;2022;Março ;0
Monte Carmelo;Vila Nova;2022;Março ;0
Patos de Minas;Patos de Minas;2022;Março ;83
Uberlandia;Educacao Fisica;2022;Março ;521
Uberlandia;Gloria;2022;Março ;771
Uberlandia;Moradia;2022;Março ;260
Uberlandia;Santa Monica;2022;Março ;6228
Uberlandia;Umuarama;2022;Março ;5023
Uberlandia;Unidades Externas;2022;Março ;394
Ituiutaba;Centro;2022;Abril ;0
Ituiutaba;FACIP;2022;Abril ;472
Monte Carmelo;Araras;2022;Abril ;1175
Monte Carmelo;Boa Vista;2022;Abril ;13
Monte Carmelo;Cidade Jardim;2022;Abril ;0
Monte Carmelo;Mundo Novo;2022;Abril ;0
Monte Carmelo;Vila Nova;2022;Abril ;0
Patos de Minas;Patos de Minas;2022;Abril ;80
Uberlandia;Educacao Fisica;2022;Abril ;1041
Uberlandia;Gloria;2022;Abril ;1069
Uberlandia;Moradia;2022;Abril ;260
Uberlandia;Santa Monica;2022;Abril ;7207
Uberlandia;Umuarama;2022;Abril ;5876
Uberlandia;Unidades Externas;2022;Abril ;413
Ituiutaba;Centro;2022;Maio ;0
Ituiutaba;FACIP;2022;Maio ;715
Monte Carmelo;Araras;2022;Maio ;1270
Monte Carmelo;Boa Vista;2022;Maio ;10
Monte Carmelo;Cidade Jardim;2022;Maio ;0
Monte Carmelo;Mundo Novo;2022;Maio ;0
Monte Carmelo;Vila Nova;2022;Maio ;0
Patos de Minas;Patos de Minas;2022;Maio ;103
Uberlandia;Educacao Fisica;2022;Maio ;1577
Uberlandia;Gloria;2022;Maio ;1380
Uberlandia;Moradia;2022;Maio ;293
Uberlandia;Santa Monica;2022;Maio ;8270
Uberlandia;Umuarama;2022;Maio ;5192
Uberlandia;Unidades Externas;2022;Maio ;573
Ituiutaba;Centro;2022;Junho ;0
Ituiutaba;FACIP;2022;Junho ;812
Monte Carmelo;Araras;2022;Junho ;1734
Monte Carmelo;Boa Vista;2022;Junho ;15
Monte Carmelo;Cidade Jardim;2022;Junho ;0
Monte Carmelo;Mundo Novo;2022;Junho ;0
Monte Carmelo;Vila Nova;2022;Junho ;0
Patos de Minas;Patos de Minas;2022;Junho ;119
Uberlandia;Educacao Fisica;2022;Junho ;1340
Uberlandia;Gloria;2022;Junho ;1240
Uberlandia;Moradia;2022;Junho ;295
Uberlandia;Santa Monica;2022;Junho ;9106
Uberlandia;Umuarama;2022;Junho ;5424
Uberlandia;Unidades Externas;2022;Junho ;823
Ituiutaba;Centro;2022;Julho ;0
Ituiutaba;FACIP;2022;Julho ;1292
Monte Carmelo;Araras;2022;Julho ;1535
Monte Carmelo;Boa Vista;2022;Julho ;19
Monte Carmelo;Cidade Jardim;2022;Julho ;0
Monte Carmelo;Mundo Novo;2022;Julho ;0
Monte Carmelo;Vila Nova;2022;Julho ;0
Patos de Minas;Patos de Minas;2022;Julho ;116
Uberlandia;Educacao Fisica;2022;Julho ;2385
Uberlandia;Gloria;2022;Julho ;1254
Uberlandia;Moradia;2022;Julho ;328
Uberlandia;Santa Monica;2022;Julho ;10218
Uberlandia;Umuarama;2022;Julho ;4922
Uberlandia;Unidades Externas;2022;Julho ;582
Ituiutaba;Centro;2022;Agosto ;0
Ituiutaba;FACIP;2022;Agosto ;904
Monte Carmelo;Araras;2022;Agosto ;1517
Monte Carmelo;Boa Vista;2022;Agosto ;17
Monte Carmelo;Cidade Jardim;2022;Agosto ;15
Monte Carmelo;Mundo Novo;2022;Agosto ;0
Monte Carmelo;Vila Nova;2022;Agosto ;0
Patos de Minas;Patos de Minas;2022;Agosto ;162
Uberlandia;Educacao Fisica;2022;Agosto ;1050
Uberlandia;Gloria;2022;Agosto ;1087
Uberlandia;Moradia;2022;Agosto ;260
Uberlandia;Santa Monica;2022;Agosto ;8440
Uberlandia;Umuarama;2022;Agosto ;4598
Uberlandia;Unidades Externas;2022;Agosto ;694
Ituiutaba;Centro;2022;Setembro ;0
Ituiutaba;FACIP;2022;Setembro ;976
Monte Carmelo;Araras;2022;Setembro ;2546
Monte Carmelo;Boa Vista;2022;Setembro ;19
Monte Carmelo;Cidade Jardim;2022;Setembro ;24
Monte Carmelo;Mundo Novo;2022;Setembro ;0
Monte Carmelo;Vila Nova;2022;Setembro ;0
Patos de Minas;Patos de Minas;2022;Setembro ;148
Uberlandia;Educacao Fisica;2022;Setembro ;1250
Uberlandia;Gloria;2022;Setembro ;1016
Uberlandia;Moradia;2022;Setembro ;260
Uberlandia;Santa Monica;2022;Setembro ;9314
Uberlandia;Umuarama;2022;Setembro ;4876
Uberlandia;Unidades Externas;2022;Setembro ;510
Ituiutaba;Centro;2022;Outubro ;0
Ituiutaba;FACIP;2022;Outubro ;861
Monte Carmelo;Araras;2022;Outubro ;1305
Monte Carmelo;Boa Vista;2022;Outubro ;21
Monte Carmelo;Cidade Jardim;2022;Outubro ;10
Monte Carmelo;Mundo Novo;2022;Outubro ;0
Monte Carmelo;Vila Nova;2022;Outubro ;0
Patos de Minas;Patos de Minas;2022;Outubro ;107
Uberlandia;Educacao Fisica;2022;Outubro ;724
Uberlandia;Gloria;2022;Outubro ;1317
Uberlandia;Moradia;2022;Outubro ;370
Uberlandia;Santa Monica;2022;Outubro ;7213
Uberlandia;Umuarama;2022;Outubro ;6297
Uberlandia;Unidades Externas;2022;Outubro ;409
Ituiutaba;Centro;2022;Novembro ;0
Ituiutaba;FACIP;2022;Novembro ;853
Monte Carmelo;Araras;2022;Novembro ;521
Monte Carmelo;Boa Vista;2022;Novembro ;21
Monte Carmelo;Cidade Jardim;2022;Novembro ;7
Monte Carmelo;Mundo Novo;2022;Novembro ;0
Monte Carmelo;Vila Nova;2022;Novembro ;0
Patos de Minas;Patos de Minas;2022;Novembro ;313
Uberlandia;Educacao Fisica;2022;Novembro ;2022
Uberlandia;Gloria;2022;Novembro ;1338
Uberlandia;Moradia;2022;Novembro ;361
Uberlandia;Santa Monica;2022;Novembro ;9774
Uberlandia;Umuarama;2022;Novembro ;5395
Uberlandia;Unidades Externas;2022;Novembro ;475
Ituiutaba;Centro;2022;Dezembro ;0
Ituiutaba;FACIP;2022;Dezembro ;551
Monte Carmelo;Araras;2022;Dezembro ;699
Monte Carmelo;Boa Vista;2022;Dezembro ;21
Monte Carmelo;Cidade Jardim;2022;Dezembro ;27
Monte Carmelo;Mundo Novo;2022;Dezembro ;0
Monte Carmelo;Vila Nova;2022;Dezembro ;0
Patos de Minas;Patos de Minas;2022;Dezembro ;209
Uberlandia;Educacao Fisica;2022;Dezembro ;933
Uberlandia;Gloria;2022;Dezembro ;1267
Uberlandia;Moradia;2022;Dezembro ;323
Uberlandia;Santa Monica;2022;Dezembro ;4898
Uberlandia;Umuarama;2022;Dezembro ;5334
Uberlandia;Unidades Externas;2022;Dezembro ;408
